business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Crème Café,Cafeteria,creme-cafe-fuenlabrada,,+34 919 20 45 06,,True,https://demos-pruebas.netlify.app/creme-cafe-fuenlabrada.html,pendiente,Una propuesta de web para Crème Café,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Crème Café** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/creme-cafe-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para Crème Café, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/creme-cafe-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
COMARA café,Cafeteria,comara-cafe-fuenlabrada,,+34 653 19 87 37,,True,https://demos-pruebas.netlify.app/comara-cafe-fuenlabrada.html,pendiente,Una propuesta de web para COMARA café,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **COMARA café** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/comara-cafe-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para COMARA café, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/comara-cafe-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Manolo Bakes,Cafeteria,manolo-bakes-fuenlabrada,,+34 915 77 39 04,,True,https://demos-pruebas.netlify.app/manolo-bakes-fuenlabrada.html,pendiente,Una propuesta de web para Manolo Bakes,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Manolo Bakes** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/manolo-bakes-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Manolo Bakes y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Fuenlabrada:

https://demos-pruebas.netlify.app/manolo-bakes-fuenlabrada

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Cafetería La Esperanza,Cafeteria,cafeteria-la-esperanza-fuenlabrada,,+34 916 90 38 09,,True,https://demos-pruebas.netlify.app/cafeteria-la-esperanza-fuenlabrada.html,pendiente,Una propuesta de web para Cafetería La Esperanza,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Cafetería La Esperanza** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-la-esperanza-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Fuenlabrada. Vi Cafetería La Esperanza y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/cafeteria-la-esperanza-fuenlabrada

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Cafetería Nevada,Cafeteria,cafeteria-nevada-fuenlabrada,,+34 916 90 92 12,,True,https://demos-pruebas.netlify.app/cafeteria-nevada-fuenlabrada.html,pendiente,Una propuesta de web para Cafetería Nevada,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Cafetería Nevada** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-nevada-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para Cafetería Nevada, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/cafeteria-nevada-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
2H CAFE,Cafeteria,2h-cafe-fuenlabrada,,+34 688 12 77 33,,True,https://demos-pruebas.netlify.app/2h-cafe-fuenlabrada.html,pendiente,Una propuesta de web para 2H CAFE,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **2H CAFE** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/2h-cafe-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para 2H CAFE, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/2h-cafe-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Café Fabero,Cafeteria,cafe-fabero-fuenlabrada,,+34 916 42 20 37,,True,https://demos-pruebas.netlify.app/cafe-fabero-fuenlabrada.html,pendiente,Una propuesta de web para Café Fabero,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Café Fabero** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafe-fabero-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Café Fabero y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/cafe-fabero-fuenlabrada

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Cafetería monalisa,Cafeteria,cafeteria-monalisa-fuenlabrada,,+34 612 56 26 80,,True,https://demos-pruebas.netlify.app/cafeteria-monalisa-fuenlabrada.html,pendiente,Una propuesta de web para Cafetería monalisa,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Cafetería monalisa** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-monalisa-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para Cafetería monalisa, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/cafeteria-monalisa-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Cafetería Montaña,Cafeteria,cafeteria-montana-fuenlabrada,,+34 658 80 22 55,,True,https://demos-pruebas.netlify.app/cafeteria-montana-fuenlabrada.html,pendiente,Una propuesta de web para Cafetería Montaña,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Cafetería Montaña** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-montana-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Fuenlabrada y he preparado una muestra gratuita pensada para Cafetería Montaña, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/cafeteria-montana-fuenlabrada

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
CAFETERIA EL MIRADOR,Cafeteria,cafeteria-el-mirador-fuenlabrada,,+34 650 27 28 08,,True,https://demos-pruebas.netlify.app/cafeteria-el-mirador-fuenlabrada.html,pendiente,Una propuesta de web para CAFETERIA EL MIRADOR,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **CAFETERIA EL MIRADOR** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-el-mirador-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Fuenlabrada. Al ver la web de CAFETERIA EL MIRADOR pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/cafeteria-el-mirador-fuenlabrada

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
