business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,tiene_web,web_estado,web_obsoleta,web_motivos,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
PANOBA,Panaderia,panoba-alcorcon,,+34 614 10 27 45,,True,True,propia,,,https://demos-pruebas.netlify.app/panoba-alcorcon.html,pendiente,Una propuesta para renovar la web de PANOBA,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **PANOBA** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/panoba-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de PANOBA y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/panoba-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Horno Cisneros,Panaderia,horno-cisneros-alcorcon,,+34 916 43 44 76,,True,True,propia,,,https://demos-pruebas.netlify.app/horno-cisneros-alcorcon.html,pendiente,Una propuesta para renovar la web de Horno Cisneros,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Horno Cisneros** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/horno-cisneros-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Horno Cisneros pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/horno-cisneros-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Pastelería MOYANO,Panaderia,pasteleria-moyano-alcorcon,,+34 916 12 96 41,,True,True,propia,,,https://demos-pruebas.netlify.app/pasteleria-moyano-alcorcon.html,pendiente,Una propuesta para renovar la web de Pastelería MOYANO,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Pastelería MOYANO** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/pasteleria-moyano-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Pastelería MOYANO y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/pasteleria-moyano-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
"Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre",Panaderia,bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon,,+34 913 62 49 73,,True,True,propia,,,https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon.html,pendiente,"Una propuesta para renovar la web de Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre","Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Blueberries Pastelería,Panaderia,blueberries-pasteleria-alcorcon,,+34 635 41 53 53,,True,False,ninguna,,,https://demos-pruebas.netlify.app/blueberries-pasteleria-alcorcon.html,pendiente,Una propuesta de web para Blueberries Pastelería,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Blueberries Pastelería** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/blueberries-pasteleria-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Alcorcon. Vi Blueberries Pastelería y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/blueberries-pasteleria-alcorcon

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Horno de pan El buen sabor Cafeteria pasteleria,Panaderia,horno-de-pan-el-buen-sabor-cafeteria-pasteleria-alcorcon,,+34 916 43 34 81,,True,True,propia,,,https://demos-pruebas.netlify.app/horno-de-pan-el-buen-sabor-cafeteria-pasteleria-alcorcon.html,pendiente,Una propuesta para renovar la web de Horno de pan El buen sabor Cafeteria pasteleria,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Horno de pan El buen sabor Cafeteria pasteleria** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/horno-de-pan-el-buen-sabor-cafeteria-pasteleria-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Horno de pan El buen sabor Cafeteria pasteleria y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/horno-de-pan-el-buen-sabor-cafeteria-pasteleria-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Tahona San José,Panaderia,tahona-san-jose-alcorcon,,+34 916 10 94 80,,True,True,propia,,,https://demos-pruebas.netlify.app/tahona-san-jose-alcorcon.html,pendiente,Una propuesta para renovar la web de Tahona San José,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Tahona San José** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/tahona-san-jose-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Tahona San José pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/tahona-san-jose-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Panadería El buen sabor Pasteleria,Panaderia,panaderia-el-buen-sabor-pasteleria-alcorcon,,+34 916 43 34 81,,True,False,ninguna,,,https://demos-pruebas.netlify.app/panaderia-el-buen-sabor-pasteleria-alcorcon.html,pendiente,Una propuesta de web para Panadería El buen sabor Pasteleria,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Panadería El buen sabor Pasteleria** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/panaderia-el-buen-sabor-pasteleria-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Panadería El buen sabor Pasteleria y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Alcorcon y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/panaderia-el-buen-sabor-pasteleria-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Sabor Zuliano,Panaderia,sabor-zuliano-alcorcon,,+34 602 59 81 43,,True,True,propia,,,https://demos-pruebas.netlify.app/sabor-zuliano-alcorcon.html,pendiente,Una propuesta para renovar la web de Sabor Zuliano,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Sabor Zuliano** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/sabor-zuliano-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Sabor Zuliano y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/sabor-zuliano-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
"Pastelería Muñoz (Alcorcón Centro), desde 1969",Panaderia,pasteleria-munoz-alcorcon-centro-desde-1969-alcorcon,,+34 916 19 55 03,,True,True,propia,,,https://demos-pruebas.netlify.app/pasteleria-munoz-alcorcon-centro-desde-1969-alcorcon.html,pendiente,"Una propuesta para renovar la web de Pastelería Muñoz (Alcorcón Centro), desde 1969","Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Pastelería Muñoz (Alcorcón Centro), desde 1969** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/pasteleria-munoz-alcorcon-centro-desde-1969-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Pastelería Muñoz (Alcorcón Centro), desde 1969 pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/pasteleria-munoz-alcorcon-centro-desde-1969-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
