business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Panettone,Cafeteria,panettone-alcorcon,,+34 914 94 48 35,,True,https://demos-pruebas.netlify.app/panettone-alcorcon.html,pendiente,Una propuesta de web para Panettone,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Panettone** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/panettone-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Panettone y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Alcorcon y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/panettone-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Artesanos del Café y Té,Cafeteria,artesanos-del-cafe-y-te-alcorcon,,+34 911 56 49 57,,True,https://demos-pruebas.netlify.app/artesanos-del-cafe-y-te-alcorcon.html,pendiente,Una propuesta de web para Artesanos del Café y Té,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Artesanos del Café y Té** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/artesanos-del-cafe-y-te-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Alcorcon y he preparado una muestra gratuita pensada para Artesanos del Café y Té, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/artesanos-del-cafe-y-te-alcorcon

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Bocono Specialty Coffee,Cafeteria,bocono-specialty-coffee-alcorcon,,,,True,https://demos-pruebas.netlify.app/bocono-specialty-coffee-alcorcon.html,pendiente,Una propuesta de web para Bocono Specialty Coffee,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Bocono Specialty Coffee** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/bocono-specialty-coffee-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Bocono Specialty Coffee pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/bocono-specialty-coffee-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
"Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre",Cafeteria,bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon,,+34 913 62 49 73,,True,https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon.html,pendiente,"Una propuesta de web para Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre","Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/bread-co-brunch-alcorcon-cafe-de-especialidad-y-panes-de-masa-madre-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Coffee & bakery El Paraíso,Cafeteria,coffee-bakery-el-paraiso-alcorcon,,+34 612 56 69 25,,True,https://demos-pruebas.netlify.app/coffee-bakery-el-paraiso-alcorcon.html,pendiente,Una propuesta de web para Coffee & bakery El Paraíso,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Coffee & bakery El Paraíso** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/coffee-bakery-el-paraiso-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Coffee & bakery El Paraíso y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/coffee-bakery-el-paraiso-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón",Cafeteria,los-reyunos-pastelerias-panaderias-cafeterias-sucursal-alcorcon-alcorcon,,+34 916 10 69 35,,True,https://demos-pruebas.netlify.app/los-reyunos-pastelerias-panaderias-cafeterias-sucursal-alcorcon-alcorcon.html,pendiente,"Una propuesta de web para Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón","Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/los-reyunos-pastelerias-panaderias-cafeterias-sucursal-alcorcon-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/los-reyunos-pastelerias-panaderias-cafeterias-sucursal-alcorcon-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Nurcris,Cafeteria,nurcris-alcorcon,,,,True,https://demos-pruebas.netlify.app/nurcris-alcorcon.html,pendiente,Una propuesta de web para Nurcris,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Nurcris** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/nurcris-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Nurcris y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/nurcris-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Viena Capellanes,Cafeteria,viena-capellanes-alcorcon,,+34 919 90 37 19,,True,https://demos-pruebas.netlify.app/viena-capellanes-alcorcon.html,pendiente,Una propuesta de web para Viena Capellanes,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Viena Capellanes** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/viena-capellanes-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Viena Capellanes pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/viena-capellanes-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Viena Capellanes,Cafeteria,viena-capellanes-alcorcon,,+34 912 79 70 44,,True,https://demos-pruebas.netlify.app/viena-capellanes-alcorcon.html,pendiente,Una propuesta de web para Viena Capellanes,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Viena Capellanes** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/viena-capellanes-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Viena Capellanes pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/viena-capellanes-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Gastrobar & bakery Mucha Miga cervecería,Cafeteria,gastrobar-bakery-mucha-miga-cerveceria-alcorcon,,+34 910 41 09 92,,True,https://demos-pruebas.netlify.app/gastrobar-bakery-mucha-miga-cerveceria-alcorcon.html,pendiente,Una propuesta de web para Gastrobar & bakery Mucha Miga cervecería,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **Gastrobar & bakery Mucha Miga cervecería** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/gastrobar-bakery-mucha-miga-cerveceria-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Alcorcon. Vi Gastrobar & bakery Mucha Miga cervecería y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/gastrobar-bakery-mucha-miga-cerveceria-alcorcon

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
