business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,tiene_web,web_estado,web_obsoleta,web_motivos,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Restaurante El Granero - Cocina mediterránea - Alcorcón,Restaurante,restaurante-el-granero-cocina-mediterranea-alcorcon-alcorcon,,+34 912 88 33 94,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-el-granero-cocina-mediterranea-alcorcon-alcorcon.html,pendiente,Una propuesta para renovar la web de Restaurante El Granero - Cocina mediterránea - Alcorcón,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante El Granero - Cocina mediterránea - Alcorcón** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-el-granero-cocina-mediterranea-alcorcon-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Restaurante El Granero - Cocina mediterránea - Alcorcón pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/restaurante-el-granero-cocina-mediterranea-alcorcon-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Restaurante Terraza Amphora,Restaurante,restaurante-terraza-amphora-alcorcon,,+34 916 44 39 17,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-terraza-amphora-alcorcon.html,pendiente,Una propuesta para renovar la web de Restaurante Terraza Amphora,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante Terraza Amphora** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-terraza-amphora-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Restaurante Terraza Amphora y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/restaurante-terraza-amphora-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Bálamo restaurante,Restaurante,balamo-restaurante-alcorcon,,+34 917 08 70 10,,True,True,,,,https://demos-pruebas.netlify.app/balamo-restaurante-alcorcon.html,pendiente,Una propuesta para renovar la web de Bálamo restaurante,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Bálamo restaurante** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/balamo-restaurante-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Alcorcon. Al ver la web de Bálamo restaurante pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/balamo-restaurante-alcorcon

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Restaurante El Fermín,Restaurante,restaurante-el-fermin-alcorcon,,+34 916 10 31 03,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-el-fermin-alcorcon.html,pendiente,Una propuesta para renovar la web de Restaurante El Fermín,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante El Fermín** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-el-fermin-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Restaurante El Fermín y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/restaurante-el-fermin-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
"Restaurante Las Tejas, Alcorcón (desde 1978)",Restaurante,restaurante-las-tejas-alcorcon-desde-1978-alcorcon,,+34 916 10 80 07,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-las-tejas-alcorcon-desde-1978-alcorcon.html,pendiente,"Una propuesta para renovar la web de Restaurante Las Tejas, Alcorcón (desde 1978)","Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante Las Tejas, Alcorcón (desde 1978)** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-las-tejas-alcorcon-desde-1978-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Restaurante Las Tejas, Alcorcón (desde 1978) y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/restaurante-las-tejas-alcorcon-desde-1978-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Restaurante El Acebo,Restaurante,restaurante-el-acebo-alcorcon,,+34 914 86 02 32,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-el-acebo-alcorcon.html,pendiente,Una propuesta para renovar la web de Restaurante El Acebo,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante El Acebo** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-el-acebo-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Restaurante El Acebo y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/restaurante-el-acebo-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Kuelap Brasas,Restaurante,kuelap-brasas-alcorcon,,+34 913 69 18 69,,True,True,,,,https://demos-pruebas.netlify.app/kuelap-brasas-alcorcon.html,pendiente,Una propuesta para renovar la web de Kuelap Brasas,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Kuelap Brasas** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/kuelap-brasas-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Kuelap Brasas y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/kuelap-brasas-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Restaurante El Rececho,Restaurante,restaurante-el-rececho-alcorcon,,+34 669 64 87 69,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-el-rececho-alcorcon.html,pendiente,Una propuesta para renovar la web de Restaurante El Rececho,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **Restaurante El Rececho** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-el-rececho-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Restaurante El Rececho y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Alcorcon:

https://demos-pruebas.netlify.app/restaurante-el-rececho-alcorcon

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
El Alfar Alcorcón,Restaurante,el-alfar-alcorcon-alcorcon,,+34 914 49 10 31,,True,False,,,,https://demos-pruebas.netlify.app/el-alfar-alcorcon-alcorcon.html,pendiente,Una propuesta de web para El Alfar Alcorcón,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto **El Alfar Alcorcón** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/el-alfar-alcorcon-alcorcon.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Alcorcon y he preparado una muestra gratuita pensada para El Alfar Alcorcón, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/el-alfar-alcorcon-alcorcon

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
La Federala Alcorcón,Restaurante,la-federala-alcorcon-alcorcon,,+34 918 32 00 42,,True,True,,,,https://demos-pruebas.netlify.app/la-federala-alcorcon-alcorcon.html,pendiente,Una propuesta para renovar la web de La Federala Alcorcón,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Alcorcon.

He visto la web de **La Federala Alcorcón** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/la-federala-alcorcon-alcorcon.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de La Federala Alcorcón y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/la-federala-alcorcon-alcorcon

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
