business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Floristería Eterna Primavera,Floristeria,floristeria-eterna-primavera-getafe,,+34 916 95 62 71,,True,https://demos-pruebas.netlify.app/floristeria-eterna-primavera-getafe.html,pendiente,Una propuesta de web para Floristería Eterna Primavera,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Floristería Eterna Primavera** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-eterna-primavera-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Getafe. Al ver la web de Floristería Eterna Primavera pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/floristeria-eterna-primavera-getafe

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
MARSILEA FLORISTAS,Floristeria,marsilea-floristas-getafe,,+34 912 99 81 01,,True,https://demos-pruebas.netlify.app/marsilea-floristas-getafe.html,pendiente,Una propuesta de web para MARSILEA FLORISTAS,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **MARSILEA FLORISTAS** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/marsilea-floristas-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto MARSILEA FLORISTAS y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Getafe y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/marsilea-floristas-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Floristería Panés,Floristeria,floristeria-panes-getafe,,+34 916 81 50 57,,True,https://demos-pruebas.netlify.app/floristeria-panes-getafe.html,pendiente,Una propuesta de web para Floristería Panés,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Floristería Panés** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-panes-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Getafe y he preparado una muestra gratuita pensada para Floristería Panés, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/floristeria-panes-getafe

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Floristeria La Buganvilla de Lupi,Floristeria,floristeria-la-buganvilla-de-lupi-getafe,,+34 910 82 72 51,,True,https://demos-pruebas.netlify.app/floristeria-la-buganvilla-de-lupi-getafe.html,pendiente,Una propuesta de web para Floristeria La Buganvilla de Lupi,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Floristeria La Buganvilla de Lupi** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-la-buganvilla-de-lupi-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi Floristeria La Buganvilla de Lupi y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/floristeria-la-buganvilla-de-lupi-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
QUILES Floristería,Floristeria,quiles-floristeria-getafe,info@grupoquiles.es,+34 913 11 24 44,https://instagram.com/quilesfloristeria,False,https://demos-pruebas.netlify.app/quiles-floristeria-getafe.html,enviado,Una propuesta de web para QUILES Floristería,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **QUILES Floristería** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/quiles-floristeria-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Getafe. Al ver la web de QUILES Floristería pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/quiles-floristeria-getafe

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
DOMINGA FLORES,Floristeria,dominga-flores-getafe,,+34 609 42 29 03,,True,https://demos-pruebas.netlify.app/dominga-flores-getafe.html,pendiente,Una propuesta de web para DOMINGA FLORES,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **DOMINGA FLORES** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/dominga-flores-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de DOMINGA FLORES y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/dominga-flores-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Tu Floristería en Casa,Floristeria,tu-floristeria-en-casa-getafe,,+34 657 05 41 21,,True,https://demos-pruebas.netlify.app/tu-floristeria-en-casa-getafe.html,pendiente,Una propuesta de web para Tu Floristería en Casa,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Tu Floristería en Casa** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/tu-floristeria-en-casa-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Tu Floristería en Casa y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/tu-floristeria-en-casa-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Flor tienda,Floristeria,flor-tienda-getafe,,+34 910 33 87 77,,True,https://demos-pruebas.netlify.app/flor-tienda-getafe.html,pendiente,Una propuesta de web para Flor tienda,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Flor tienda** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/flor-tienda-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Getafe y he preparado una muestra gratuita pensada para Flor tienda, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/flor-tienda-getafe

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Floréate VENTA ONLINE,Floristeria,floreate-venta-online-getafe,,+34 633 75 76 67,,True,https://demos-pruebas.netlify.app/floreate-venta-online-getafe.html,pendiente,Una propuesta de web para Floréate VENTA ONLINE,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Floréate VENTA ONLINE** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floreate-venta-online-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi Floréate VENTA ONLINE y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/floreate-venta-online-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Pepe Camacho Floristeria | Taller y Proyectos Florales,Floristeria,pepe-camacho-floristeria-taller-y-proyectos-florales-getafe,,+34 606 64 53 49,https://instagram.com/pepe_camacho_florista,True,https://demos-pruebas.netlify.app/pepe-camacho-floristeria-taller-y-proyectos-florales-getafe.html,pendiente,Una propuesta de web para Pepe Camacho Floristeria | Taller y Proyectos Florales,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Pepe Camacho Floristeria | Taller y Proyectos Florales** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/pepe-camacho-floristeria-taller-y-proyectos-florales-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Pepe Camacho Floristeria | Taller y Proyectos Florales y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Getafe:

https://demos-pruebas.netlify.app/pepe-camacho-floristeria-taller-y-proyectos-florales-getafe

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
