business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
La Joya Café,Cafeteria,la-joya-cafe-leganes,,+34 916 86 61 80,,True,https://demos-pruebas.netlify.app/la-joya-cafe-leganes.html,pendiente,Una propuesta de web para La Joya Café,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **La Joya Café** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/la-joya-cafe-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de La Joya Café pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/la-joya-cafe-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Cafetería Polvoranca,Cafeteria,cafeteria-polvoranca-leganes,,+34 916 93 24 16,,True,https://demos-pruebas.netlify.app/cafeteria-polvoranca-leganes.html,pendiente,Una propuesta de web para Cafetería Polvoranca,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Cafetería Polvoranca** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-polvoranca-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Cafetería Polvoranca y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Leganes y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/cafeteria-polvoranca-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Cafetería Ohana Panadería,Cafeteria,cafeteria-ohana-panaderia-leganes,,+34 643 74 02 93,,True,https://demos-pruebas.netlify.app/cafeteria-ohana-panaderia-leganes.html,pendiente,Una propuesta de web para Cafetería Ohana Panadería,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Cafetería Ohana Panadería** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-ohana-panaderia-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Cafetería Ohana Panadería y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Leganes y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/cafeteria-ohana-panaderia-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Fnac Café by Nero Coffee Show,Cafeteria,fnac-cafe-by-nero-coffee-show-leganes,,,,True,https://demos-pruebas.netlify.app/fnac-cafe-by-nero-coffee-show-leganes.html,pendiente,Una propuesta de web para Fnac Café by Nero Coffee Show,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Fnac Café by Nero Coffee Show** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/fnac-cafe-by-nero-coffee-show-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Leganes. Vi Fnac Café by Nero Coffee Show y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/fnac-cafe-by-nero-coffee-show-leganes

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Cafetería Stela,Cafeteria,cafeteria-stela-leganes,,+34 916 80 24 54,,True,https://demos-pruebas.netlify.app/cafeteria-stela-leganes.html,pendiente,Una propuesta de web para Cafetería Stela,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Cafetería Stela** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-stela-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Cafetería Stela y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/cafeteria-stela-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Gusto Coffee And Bakery,Cafeteria,gusto-coffee-and-bakery-leganes,,,,True,https://demos-pruebas.netlify.app/gusto-coffee-and-bakery-leganes.html,pendiente,Una propuesta de web para Gusto Coffee And Bakery,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Gusto Coffee And Bakery** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/gusto-coffee-and-bakery-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Gusto Coffee And Bakery y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Leganes y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/gusto-coffee-and-bakery-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Vivari coffee & Bakery,Cafeteria,vivari-coffee-bakery-leganes,,,,True,https://demos-pruebas.netlify.app/vivari-coffee-bakery-leganes.html,pendiente,Una propuesta de web para Vivari coffee & Bakery,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Vivari coffee & Bakery** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/vivari-coffee-bakery-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Leganes. Vi Vivari coffee & Bakery y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/vivari-coffee-bakery-leganes

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
ROLLO & CANELA,Cafeteria,rollo-canela-leganes,,+34 624 93 68 50,,True,https://demos-pruebas.netlify.app/rollo-canela-leganes.html,pendiente,Una propuesta de web para ROLLO & CANELA,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **ROLLO & CANELA** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/rollo-canela-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Leganes y he preparado una muestra gratuita pensada para ROLLO & CANELA, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/rollo-canela-leganes

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Café Milano,Cafeteria,cafe-milano-leganes,,+34 914 96 02 09,,True,https://demos-pruebas.netlify.app/cafe-milano-leganes.html,pendiente,Una propuesta de web para Café Milano,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Café Milano** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafe-milano-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de Café Milano pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/cafe-milano-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
CoffeeBar.59,Cafeteria,coffeebar-59-leganes,,+34 914 81 58 22,,True,https://demos-pruebas.netlify.app/coffeebar-59-leganes.html,pendiente,Una propuesta de web para CoffeeBar.59,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **CoffeeBar.59** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/coffeebar-59-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de CoffeeBar.59 y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/coffeebar-59-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Cafetería y Panadería DelyPans JR,Cafeteria,cafeteria-y-panaderia-delypans-jr-leganes,,+34 685 58 65 23,,True,https://demos-pruebas.netlify.app/cafeteria-y-panaderia-delypans-jr-leganes.html,pendiente,Una propuesta de web para Cafetería y Panadería DelyPans JR,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Cafetería y Panadería DelyPans JR** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cafeteria-y-panaderia-delypans-jr-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Cafetería y Panadería DelyPans JR y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Leganes y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/cafeteria-y-panaderia-delypans-jr-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Oohlala Bistró,Cafeteria,oohlala-bistro-leganes,,+34 688 46 12 36,,True,https://demos-pruebas.netlify.app/oohlala-bistro-leganes.html,pendiente,Una propuesta de web para Oohlala Bistró,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Oohlala Bistró** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/oohlala-bistro-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Oohlala Bistró y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Leganes:

https://demos-pruebas.netlify.app/oohlala-bistro-leganes

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
