business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Floristerías El Vivero,Floristeria,floristerias-el-vivero-fuenlabrada,j.alberto@floristeriaselvivero.es,+34 916 97 42 42,https://instagram.com/elviverofloristerias,False,https://demos-pruebas.netlify.app/floristerias-el-vivero-fuenlabrada.html,enviado,Una propuesta de web para Floristerías El Vivero,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Floristerías El Vivero** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristerias-el-vivero-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Fuenlabrada. Al ver la web de Floristerías El Vivero pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/floristerias-el-vivero-fuenlabrada

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Decano Floristas,Floristeria,decano-floristas-fuenlabrada,,+34 916 90 56 28,,True,https://demos-pruebas.netlify.app/decano-floristas-fuenlabrada.html,pendiente,Una propuesta de web para Decano Floristas,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Decano Floristas** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/decano-floristas-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Decano Floristas y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/decano-floristas-fuenlabrada

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Floristería Florviva,Floristeria,floristeria-florviva-fuenlabrada,florviva1@gmail.com,+34 916 15 34 27,,False,https://demos-pruebas.netlify.app/floristeria-florviva-fuenlabrada.html,enviado,Una propuesta de web para Floristería Florviva,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Floristería Florviva** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-florviva-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Floristería Florviva y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Fuenlabrada:

https://demos-pruebas.netlify.app/floristeria-florviva-fuenlabrada

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
La Floristería de Fuenlabrada by Rosify Box,Floristeria,la-floristeria-de-fuenlabrada-by-rosify-box-fuenlabrada,,+34 611 64 34 00,,True,https://demos-pruebas.netlify.app/la-floristeria-de-fuenlabrada-by-rosify-box-fuenlabrada.html,enviado,Una propuesta de web para La Floristería de Fuenlabrada by Rosify Box,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **La Floristería de Fuenlabrada by Rosify Box** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/la-floristeria-de-fuenlabrada-by-rosify-box-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Fuenlabrada. Al ver la web de La Floristería de Fuenlabrada by Rosify Box pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/la-floristeria-de-fuenlabrada-by-rosify-box-fuenlabrada

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Floristería Flores,Floristeria,floristeria-flores-fuenlabrada,,+34 612 44 17 08,,True,https://demos-pruebas.netlify.app/floristeria-flores-fuenlabrada.html,pendiente,Una propuesta de web para Floristería Flores,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Floristería Flores** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-flores-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Fuenlabrada. Vi Floristería Flores y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/floristeria-flores-fuenlabrada

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Floristería de Paula,Floristeria,floristeria-de-paula-fuenlabrada,florisdepaula@gmail.com,+34 916 15 95 29,,False,https://demos-pruebas.netlify.app/floristeria-de-paula-fuenlabrada.html,enviado,Una propuesta de web para Floristería de Paula,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Floristería de Paula** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-de-paula-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Floristería de Paula y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/floristeria-de-paula-fuenlabrada

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Floristeria Rayma,Floristeria,floristeria-rayma-fuenlabrada,hola@floristeriarayma.com,+34 916 09 70 85,https://instagram.com/floristeriarayma,False,https://demos-pruebas.netlify.app/floristeria-rayma-fuenlabrada.html,enviado,Una propuesta de web para Floristeria Rayma,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Floristeria Rayma** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-rayma-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Fuenlabrada. Al ver la web de Floristeria Rayma pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/floristeria-rayma-fuenlabrada

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
LA CASA DEL CAMPO,Floristeria,la-casa-del-campo-fuenlabrada,,+34 916 06 04 12,,True,https://demos-pruebas.netlify.app/la-casa-del-campo-fuenlabrada.html,pendiente,Una propuesta de web para LA CASA DEL CAMPO,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **LA CASA DEL CAMPO** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/la-casa-del-campo-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto LA CASA DEL CAMPO y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Fuenlabrada y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/la-casa-del-campo-fuenlabrada

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Tu Floristería en Casa,Floristeria,tu-floristeria-en-casa-fuenlabrada,,+34 657 05 41 21,,True,https://demos-pruebas.netlify.app/tu-floristeria-en-casa-fuenlabrada.html,pendiente,Una propuesta de web para Tu Floristería en Casa,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Tu Floristería en Casa** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/tu-floristeria-en-casa-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Tu Floristería en Casa y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/tu-floristeria-en-casa-fuenlabrada

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Poenía Arte Floral,Floristeria,poenia-arte-floral-fuenlabrada,admin@poenia.com,+34 916 15 81 99,,False,https://demos-pruebas.netlify.app/poenia-arte-floral-fuenlabrada.html,enviado,Una propuesta de web para Poenía Arte Floral,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Fuenlabrada.

He visto **Poenía Arte Floral** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/poenia-arte-floral-fuenlabrada.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Poenía Arte Floral y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Fuenlabrada:

https://demos-pruebas.netlify.app/poenia-arte-floral-fuenlabrada

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
