business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,tiene_web,web_estado,web_obsoleta,web_motivos,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Restaurante Napoli Rules,Restaurante,restaurante-napoli-rules-leganes,,+34 910 11 45 81,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-napoli-rules-leganes.html,pendiente,Una propuesta para renovar la web de Restaurante Napoli Rules,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Restaurante Napoli Rules** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-napoli-rules-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Restaurante Napoli Rules y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/restaurante-napoli-rules-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Restaurante Rita la Cantaora,Restaurante,restaurante-rita-la-cantaora-leganes,,+34 918 32 19 61,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-rita-la-cantaora-leganes.html,pendiente,Una propuesta para renovar la web de Restaurante Rita la Cantaora,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Restaurante Rita la Cantaora** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-rita-la-cantaora-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Restaurante Rita la Cantaora y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/restaurante-rita-la-cantaora-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Restaurante Maridaje Divino,Restaurante,restaurante-maridaje-divino-leganes,,+34 911 05 00 39,,True,False,,,,https://demos-pruebas.netlify.app/restaurante-maridaje-divino-leganes.html,pendiente,Una propuesta de web para Restaurante Maridaje Divino,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Restaurante Maridaje Divino** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/restaurante-maridaje-divino-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Leganes. Vi Restaurante Maridaje Divino y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/restaurante-maridaje-divino-leganes

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
La Esquina By Milano,Restaurante,la-esquina-by-milano-leganes,,+34 910 16 23 22,,True,False,,,,https://demos-pruebas.netlify.app/la-esquina-by-milano-leganes.html,pendiente,Una propuesta de web para La Esquina By Milano,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **La Esquina By Milano** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/la-esquina-by-milano-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Leganes y he preparado una muestra gratuita pensada para La Esquina By Milano, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/la-esquina-by-milano-leganes

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Da' Bacco Bar-Restaurante,Restaurante,da-bacco-bar-restaurante-leganes,,+34 603 12 85 02,,True,False,,,,https://demos-pruebas.netlify.app/da-bacco-bar-restaurante-leganes.html,pendiente,Una propuesta de web para Da' Bacco Bar-Restaurante,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Da' Bacco Bar-Restaurante** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/da-bacco-bar-restaurante-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Leganes y he preparado una muestra gratuita pensada para Da' Bacco Bar-Restaurante, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/da-bacco-bar-restaurante-leganes

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Restaurante LaPoza Leganés,Restaurante,restaurante-lapoza-leganes-leganes,,+34 910 08 20 20,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-lapoza-leganes-leganes.html,pendiente,Una propuesta para renovar la web de Restaurante LaPoza Leganés,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Restaurante LaPoza Leganés** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-lapoza-leganes-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de Restaurante LaPoza Leganés pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/restaurante-lapoza-leganes-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Restaurante Changô,Restaurante,restaurante-chango-leganes,,+34 699 06 05 81,,True,True,,,,https://demos-pruebas.netlify.app/restaurante-chango-leganes.html,pendiente,Una propuesta para renovar la web de Restaurante Changô,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Restaurante Changô** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/restaurante-chango-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Restaurante Changô y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/restaurante-chango-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Castizö Gastrobar,Restaurante,castizo-gastrobar-leganes,,+34 910 93 87 46,,True,True,,,,https://demos-pruebas.netlify.app/castizo-gastrobar-leganes.html,pendiente,Una propuesta para renovar la web de Castizö Gastrobar,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Castizö Gastrobar** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/castizo-gastrobar-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Castizö Gastrobar y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/castizo-gastrobar-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Restaurante El Caldero de Roal,Restaurante,restaurante-el-caldero-de-roal-leganes,,+34 912 28 39 44,,True,False,,,,https://demos-pruebas.netlify.app/restaurante-el-caldero-de-roal-leganes.html,pendiente,Una propuesta de web para Restaurante El Caldero de Roal,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Restaurante El Caldero de Roal** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/restaurante-el-caldero-de-roal-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Leganes y he preparado una muestra gratuita pensada para Restaurante El Caldero de Roal, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/restaurante-el-caldero-de-roal-leganes

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Bar restaurante Minuit,Restaurante,bar-restaurante-minuit-leganes,,+34 916 93 84 24,,True,True,,,,https://demos-pruebas.netlify.app/bar-restaurante-minuit-leganes.html,pendiente,Una propuesta para renovar la web de Bar restaurante Minuit,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Bar restaurante Minuit** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/bar-restaurante-minuit-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Bar restaurante Minuit y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/bar-restaurante-minuit-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
