business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
Cervecería El Eskinazo,Bar,cerveceria-el-eskinazo-getafe,,+34 679 96 42 79,,True,https://demos-pruebas.netlify.app/cerveceria-el-eskinazo-getafe.html,enviado,Una propuesta de web para Cervecería El Eskinazo,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Cervecería El Eskinazo** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/cerveceria-el-eskinazo-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Cervecería El Eskinazo y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/cerveceria-el-eskinazo-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Amphetamine Lovers,Bar,amphetamine-lovers-getafe,,+34 627 37 82 56,,True,https://demos-pruebas.netlify.app/amphetamine-lovers-getafe.html,enviado,Una propuesta de web para Amphetamine Lovers,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Amphetamine Lovers** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/amphetamine-lovers-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Getafe. Al ver la web de Amphetamine Lovers pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/amphetamine-lovers-getafe

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Bar Garaje,Bar,bar-garaje-getafe,,,,True,https://demos-pruebas.netlify.app/bar-garaje-getafe.html,pendiente,Una propuesta de web para Bar Garaje,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Bar Garaje** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/bar-garaje-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi Bar Garaje y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/bar-garaje-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
YII BAR VIP,Bar,yii-bar-vip-getafe,stevmaf0626@gmail.com,+34 674 77 50 94,,False,https://demos-pruebas.netlify.app/yii-bar-vip-getafe.html,enviado,Una propuesta de web para YII BAR VIP,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **YII BAR VIP** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/yii-bar-vip-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de YII BAR VIP y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Getafe:

https://demos-pruebas.netlify.app/yii-bar-vip-getafe

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Bar Avenida 47,Bar,bar-avenida-47-getafe,,,,True,https://demos-pruebas.netlify.app/bar-avenida-47-getafe.html,pendiente,Una propuesta de web para Bar Avenida 47,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Bar Avenida 47** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/bar-avenida-47-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi Bar Avenida 47 y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/bar-avenida-47-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
TIPSY Bar,Bar,tipsy-bar-getafe,,+34 610 65 94 49,,True,https://demos-pruebas.netlify.app/tipsy-bar-getafe.html,enviado,Una propuesta de web para TIPSY Bar,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **TIPSY Bar** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/tipsy-bar-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi TIPSY Bar y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/tipsy-bar-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Casi k si Rock Bar,Bar,casi-k-si-rock-bar-getafe,,,,True,https://demos-pruebas.netlify.app/casi-k-si-rock-bar-getafe.html,pendiente,Una propuesta de web para Casi k si Rock Bar,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Casi k si Rock Bar** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/casi-k-si-rock-bar-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Casi k si Rock Bar y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/casi-k-si-rock-bar-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Glu glu Bar,Bar,glu-glu-bar-getafe,,+34 666 07 20 12,,True,https://demos-pruebas.netlify.app/glu-glu-bar-getafe.html,enviado,Una propuesta de web para Glu glu Bar,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Glu glu Bar** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/glu-glu-bar-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Getafe y he preparado una muestra gratuita pensada para Glu glu Bar, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/glu-glu-bar-getafe

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Donde Pepe Bar,Bar,donde-pepe-bar-getafe,,,,True,https://demos-pruebas.netlify.app/donde-pepe-bar-getafe.html,pendiente,Una propuesta de web para Donde Pepe Bar,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Donde Pepe Bar** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/donde-pepe-bar-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Getafe. Vi Donde Pepe Bar y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/donde-pepe-bar-getafe

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
Bar Los Amigos,Bar,bar-los-amigos-getafe,,+34 919 21 33 11,,True,https://demos-pruebas.netlify.app/bar-los-amigos-getafe.html,pendiente,Una propuesta de web para Bar Los Amigos,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Getafe.

He visto **Bar Los Amigos** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/bar-los-amigos-getafe.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto Bar Los Amigos y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Getafe y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/bar-los-amigos-getafe

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
