business_name,tipo,slug,email,phone,instagram,contactar_por_telefono,tiene_web,web_estado,web_obsoleta,web_motivos,preview_link,estado,asunto,cuerpo,mensaje_whatsapp
El Jardín de Butarque,Floristeria,el-jardin-de-butarque-leganes,info@eljardindebutarque.com,+34 916 93 94 88,https://instagram.com/floristeriajardindebutarque,False,True,propia,,,https://demos-pruebas.netlify.app/el-jardin-de-butarque-leganes.html,enviado,Una propuesta para renovar la web de El Jardín de Butarque,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **El Jardín de Butarque** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/el-jardin-de-butarque-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de El Jardín de Butarque y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Leganes:

https://demos-pruebas.netlify.app/el-jardin-de-butarque-leganes

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Floristería La Irónica,Floristeria,floristeria-la-ironica-leganes,floristerialaironica@gmail.com,+34 644 98 94 44,,False,True,propia,,,https://demos-pruebas.netlify.app/floristeria-la-ironica-leganes.html,enviado,Una propuesta para renovar la web de Floristería La Irónica,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Floristería La Irónica** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/floristeria-la-ironica-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de Floristería La Irónica pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/floristeria-la-ironica-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Floristería Ana María,Floristeria,floristeria-ana-maria-leganes,,+34 616 81 65 52,,True,False,ninguna,,,https://demos-pruebas.netlify.app/floristeria-ana-maria-leganes.html,pendiente,Una propuesta de web para Floristería Ana María,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **Floristería Ana María** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-ana-maria-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario. Trabajo haciendo páginas web para negocios locales de Leganes y he preparado una muestra gratuita pensada para Floristería Ana María, que vi que aún no tiene web propia:

https://demos-pruebas.netlify.app/floristeria-ana-maria-leganes

Es solo un boceto para que os hagáis una idea; si os gusta cómo queda, la completo con vuestra información real y sin ningún compromiso por vuestra parte.

Gracias por vuestro tiempo."
Alonso Floristas,Floristeria,alonso-floristas-leganes,alonso@alonsofloristas-ogsxw257c1.live-website.com,+34 916 80 97 88,,False,True,propia,,,https://demos-pruebas.netlify.app/alonso-floristas-leganes.html,enviado,Una propuesta para renovar la web de Alonso Floristas,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Alonso Floristas** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/alonso-floristas-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Alonso Floristas y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Leganes:

https://demos-pruebas.netlify.app/alonso-floristas-leganes

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Verdecora Parquesur,Floristeria,verdecora-parquesur-leganes,,+34 914 81 59 14,https://instagram.com/verdecora,True,True,propia,,,https://demos-pruebas.netlify.app/verdecora-parquesur-leganes.html,enviado,Una propuesta para renovar la web de Verdecora Parquesur,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Verdecora Parquesur** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/verdecora-parquesur-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto la web de Verdecora Parquesur y me animé a prepararos una propuesta gratuita de cómo podría quedar renovada, con un diseño más moderno y pensado para conseguir más clientes:

https://demos-pruebas.netlify.app/verdecora-parquesur-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis compararla con la actual sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
LADYBLUE FLORISTERÍA,Floristeria,ladyblue-floristeria-leganes,,+34 614 07 02 38,,True,False,ninguna,,,https://demos-pruebas.netlify.app/ladyblue-floristeria-leganes.html,pendiente,Una propuesta de web para LADYBLUE FLORISTERÍA,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **LADYBLUE FLORISTERÍA** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/ladyblue-floristeria-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario, diseño páginas web para negocios de Leganes. Vi LADYBLUE FLORISTERÍA y noté que todavía no tenéis página propia, así que os preparé una demo de muestra sin compromiso:

https://demos-pruebas.netlify.app/ladyblue-floristeria-leganes

Está pensada específicamente para vuestro negocio. Si os convence, me encargo de terminarla con vuestras fotos, textos y servicios reales.

¡Un saludo!"
FLORISTERÍA AMAZONIA. RAMOS DE NOVIA FLOR PRESERVADA. SEUR PICKUP,Floristeria,floristeria-amazonia-ramos-de-novia-flor-preservada-seur-pickup-leganes,,+34 605 66 77 93,,True,False,ninguna,,,https://demos-pruebas.netlify.app/floristeria-amazonia-ramos-de-novia-flor-preservada-seur-pickup-leganes.html,pendiente,Una propuesta de web para FLORISTERÍA AMAZONIA. RAMOS DE NOVIA FLOR PRESERVADA. SEUR PICKUP,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto **FLORISTERÍA AMAZONIA. RAMOS DE NOVIA FLOR PRESERVADA. SEUR PICKUP** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar vuestra web:

 https://demos-pruebas.netlify.app/floristeria-amazonia-ramos-de-novia-flor-preservada-seur-pickup-leganes.html

La demo está pensada específicamente para vuestro negocio, con contenido de ejemplo para que podáis haceros una idea de cómo se vería. Si os gusta el resultado, puedo desarrollar la web completa con **vuestras fotos, información, servicios y datos reales**, encargándome de todo el proceso para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola buenas, soy Mario. He visto FLORISTERÍA AMAZONIA. RAMOS DE NOVIA FLOR PRESERVADA. SEUR PICKUP y me he fijado en que no tenéis una web propia.

Estoy creando páginas web para negocios de Leganes y me animé a prepararos una demo gratuita y personalizada de cómo podría quedar la vuestra:

https://demos-pruebas.netlify.app/floristeria-amazonia-ramos-de-novia-flor-preservada-seur-pickup-leganes

La he hecho pensando específicamente en vuestro negocio, para que podáis verla sin ningún compromiso.

Si os gusta la idea, me encargo de desarrollar la web completa con vuestros datos, imágenes y servicios, para que vosotros no tengáis que preocuparos de nada.

Muchas gracias."
Chena Floristeria,Floristeria,chena-floristeria-leganes,chenafloristeria@gmail.com,+34 912 44 25 37,https://instagram.com/chenafloristeria,False,True,propia,,,https://demos-pruebas.netlify.app/chena-floristeria-leganes.html,enviado,Una propuesta para renovar la web de Chena Floristeria,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Chena Floristeria** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/chena-floristeria-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de Chena Floristeria pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/chena-floristeria-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
Floristería Mari Juli,Floristeria,floristeria-mari-juli-leganes,info@floristeriamarijuli.com,+34 912 27 32 20,,False,True,propia,,,https://demos-pruebas.netlify.app/floristeria-mari-juli-leganes.html,enviado,Una propuesta para renovar la web de Floristería Mari Juli,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Floristería Mari Juli** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/floristeria-mari-juli-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","¡Hola! Soy Mario. Vi la web de Floristería Mari Juli y se me ocurrió preparar una versión renovada, con un diseño más actual pensado para atraer más clientes en Leganes:

https://demos-pruebas.netlify.app/floristeria-mari-juli-leganes

Es una propuesta sin compromiso, solo para que veáis cómo podría quedar. Si os gusta, me encargo de completarla con vuestros datos reales.

¡Un saludo!"
Floristería Nevado,Floristeria,floristeria-nevado-leganes,,+34 910 23 96 83,https://instagram.com/floristeria_nevado1,True,True,propia,,,https://demos-pruebas.netlify.app/floristeria-nevado-leganes.html,enviado,Una propuesta para renovar la web de Floristería Nevado,"Hola,

Soy Mario, diseño y desarrollo páginas web para negocios locales en Leganes.

He visto la web de **Floristería Nevado** y me he tomado la libertad de preparar una propuesta visual de cómo podría quedar con un diseño más actual y mejor pensado para conseguir clientes:

 https://demos-pruebas.netlify.app/floristeria-nevado-leganes.html

Podéis compararla con la que tenéis ahora sin ningún compromiso. Si os convence, desarrollo la web completa con **vuestras fotos, información, servicios y datos reales**, y me encargo de todo el proceso —incluido trasladar el contenido de la web actual— para que vosotros no tengáis que preocuparos de nada.

**Podéis echarle un vistazo sin ningún compromiso.**

Si os gusta la propuesta, hablamos y os paso el presupuesto.

Un saludo,

Mario Marín
644434860
makemyweb.es
","Hola, soy Mario, diseño y renuevo páginas web para negocios de Leganes. Al ver la web de Floristería Nevado pensé que podría beneficiarse de un diseño más moderno, así que preparé esta propuesta gratuita:

https://demos-pruebas.netlify.app/floristeria-nevado-leganes

Podéis compararla con la actual sin ningún compromiso; si os convence, la termino con vuestra información real.

Gracias por vuestro tiempo."
